详情链接,标题,摘要,作者
https://www.jianshu.com//p/06574d4490ba,40岁董洁再扮少女惹争议：你的外貌里，藏着你的生活状态,前段时间，董洁在一档综艺扮演经典剧《父母爱情》中的安杰。 节目中，董洁和李光洁要在40分钟内，演完两位主角的一生，其中难度可想而知。 平心而论，...,精读君
https://www.jianshu.com//p/1cc5f0df132e,需求管理规范,前言     MOMO云敏捷项目管理，融合了敏捷、DevOps思想，打通了整个从需求、研发、测试、运维、运营的端到端敏捷。在实践中通过运维自动化...,进击的桃纸
https://www.jianshu.com//p/9ee83c58af2a,鲁迅文章频频移出课本，为何会“去鲁迅化”？余华一句话点名原因,虽然不想承认，但是鲁迅他的确对我有潜移默化的影响，我想他斐然的文笔是没有人愿意质疑的。---余华 文|公众号|颜小二述哲文 大多数喜欢文学的朋友...,颜小二述哲文
https://www.jianshu.com//p/003a316dd7fa,关系再好，也不要跟人透露这三个隐私。,1，自己的家里的家务事。 很多人遇到点事就爱跟朋友倾诉，说自己的爱人这也不好，那不好。说者无意，听者有心，他就会把你家的事告诉其他人，那时候他们...,初心到终老
https://www.jianshu.com//p/85ce42fba109,今年我读了四个开源项目的源码，来分享下心得,Hola，我是 yes。 今年来看了 RocketMQ、Kafka、Dubbo 、Tomcat 的源码，之前也有读者询问过如何读源码，索性就来分...,yes的练级攻略
https://www.jianshu.com//p/8c3329505218,戴望舒——在最美的时光里错过,【青•故事优选】[https://www.jianshu.com/c/11c8f8761ed1]专题推荐文章 01 撑着油纸伞，独自彷徨在悠长，...,叶梓木
https://www.jianshu.com//p/872f10d1e1ec,真实故事,1992年，贾平凹的妻子发现他“精神出轨”，闹着要离婚，贾平凹不愿意，不久后，路遥去世，参加完好友的葬礼后，贾平凹毅然决定离婚，亲友都劝他三思，...,子煜说
https://www.jianshu.com//p/06574d4490ba,40岁董洁再扮少女惹争议：你的外貌里，藏着你的生活状态,前段时间，董洁在一档综艺扮演经典剧《父母爱情》中的安杰。 节目中，董洁和李光洁要在40分钟内，演完两位主角的一生，其中难度可想而知。 平心而论，...,精读君
https://www.jianshu.com//p/1cc5f0df132e,需求管理规范,前言     MOMO云敏捷项目管理，融合了敏捷、DevOps思想，打通了整个从需求、研发、测试、运维、运营的端到端敏捷。在实践中通过运维自动化...,进击的桃纸
https://www.jianshu.com//p/9ee83c58af2a,鲁迅文章频频移出课本，为何会“去鲁迅化”？余华一句话点名原因,虽然不想承认，但是鲁迅他的确对我有潜移默化的影响，我想他斐然的文笔是没有人愿意质疑的。---余华 文|公众号|颜小二述哲文 大多数喜欢文学的朋友...,颜小二述哲文
https://www.jianshu.com//p/003a316dd7fa,关系再好，也不要跟人透露这三个隐私。,1，自己的家里的家务事。 很多人遇到点事就爱跟朋友倾诉，说自己的爱人这也不好，那不好。说者无意，听者有心，他就会把你家的事告诉其他人，那时候他们...,初心到终老
https://www.jianshu.com//p/85ce42fba109,今年我读了四个开源项目的源码，来分享下心得,Hola，我是 yes。 今年来看了 RocketMQ、Kafka、Dubbo 、Tomcat 的源码，之前也有读者询问过如何读源码，索性就来分...,yes的练级攻略
https://www.jianshu.com//p/8c3329505218,戴望舒——在最美的时光里错过,【青•故事优选】[https://www.jianshu.com/c/11c8f8761ed1]专题推荐文章 01 撑着油纸伞，独自彷徨在悠长，...,叶梓木
https://www.jianshu.com//p/872f10d1e1ec,真实故事,1992年，贾平凹的妻子发现他“精神出轨”，闹着要离婚，贾平凹不愿意，不久后，路遥去世，参加完好友的葬礼后，贾平凹毅然决定离婚，亲友都劝他三思，...,子煜说
https://www.jianshu.com//p/7e92f983db5e,男人渴望的“夫妻生活”，无非就是这3种，可惜很多女人却不懂,每个人都向往一份美好的爱情，而爱情最好的归宿则是婚姻，能够拥有一份幸福和睦的婚姻生活，是爱情幸福的极致。 可现实却很难让每一个人都如愿以偿，有些...,柒情社
https://www.jianshu.com//p/569347f35a41,张爱玲经典语录,1、世上有用的人往往都是俗人。 2、正经女人虽然痛恨荡妇，其实若有机会 扮个妖妇角色的话，没有一个不跃跃欲试的。 3、完美的女人比完美的男人更完...,倾城的
https://www.jianshu.com//p/e9414cc7bf22,农村的另类奇怪现象,中秋节回家看望父母，顺便去探望了小姨。 推开小姨家的门，小姨父和一个女人在那里剥包谷皮，我叫了一声小姨，那女人转过来，我才发现叫错了。原来是他们...,水月深影
https://www.jianshu.com//p/86b5db8709b8,终于理解父母为什么不开口问儿女要钱了,国庆期间，因换了一部新车，而老公又不愿意按揭，一下付清车款后，生意突然周转不开来，在不想动用储蓄的情况下，想出了一个馊主意：老公让我问问刚刚实习...,乡下张三姐
https://www.jianshu.com//p/29771fe02278,老公和其他女人睡了怎么办？我采访了多个已婚女人，结果很意外,作者：壹号情感 原创作品，抄袭必究 在情感的世界里，哪怕两个人已经步入了婚姻的殿堂，也不一定就有百分之百的把握不分开，亦或者出现背叛，任何时候都...,柒情社
https://www.jianshu.com//p/267077f02631,我也想做妾,老公忽然产生纳妾的念头，便与妻子商量，没想到妻子非常爽快地说：“只要你先给我一笔钱，我不但同意，还会帮你物色一个最好的妾来。” 于是老公给了妻子...,努力的天使姐姐
https://www.jianshu.com//p/bad1374b01ba,坚持写作一年，自己得到了什么,第一次拿稿费，是今年的三月。 那个时候，距离我在简书上写文章，至少也有一年了。 现在有一年半的时间，大概也有二三十万字的废话。 哪怕是十月初注册...,池浪
https://www.jianshu.com//p/e8f7f6c82be6,打工人下班后，通过写作赚外快…,昨天交了房租1505元，在深圳罗湖区，这个房租不算贵了。 但是对于普通打工人的我们来说，还是有点贵。 这个月的房租比上个月贵了50块钱左右，因为...,是深漂小姐姐吖
https://www.jianshu.com//p/97d326ad654f,钱钱钱，21年我要努力搞150万,刚才躺在床上，粗略的算了一下，2021年这一年，我大约有150万左右的开销窟窿，不过这里面没有债务，这是我最庆幸的。 150万，想想都可怕，吓的...,孟曌凌
https://www.jianshu.com//p/6db79ccbb18d,香港情侣在5平米廉租房的一幕，撕开了穷人最心酸的遮羞布,01 前几天看了一篇报道，记录了香港一对年轻情侣，挤住在5平米房间里生活的场景。 5平米什么概念？普通人家的厕所都比这要宽敞，而她们却要在这里夹...,精读君
https://www.jianshu.com//p/9e0a3cdb0da4,今日头条收入22.46元,今日打开今日头条一看，发现文章收益为22.46，说实话真的非常高兴！毕竟写了这么长时间文章才有了收益。虽然收益非常的微博，但这也是对我最大的鼓励...,流水孤村
https://www.jianshu.com//p/96ec3b47f59b,小狐狸,问：狐狸的媚术总共分几步。 答：三步 狐狸姑姑嫣然一笑，冲着自家的小灰狐狸伸出三根涂着红色蔻丹的纤纤玉指。 “第一步，先抛个媚眼！” “第二步，...,seven_小汤豆
https://www.jianshu.com//p/3be0a13973cc,生死恋,结婚前一天，我被退婚了，妈妈气的大骂，父亲叫了哥哥去讨说法，我，万念俱灰，不吃不喝躺了三天。 我想不明白，好好的，婚纱照拍了，请帖发了，喜宴定了...,苍榆
https://www.jianshu.com//p/2f4fb7a77fb8,她怀疑丈夫对女儿别有用心,她带着14岁的女儿再婚，嫁给了一个比她小6岁的头婚下属，这个继父为女儿又是买衣服，又是买吃的，总之比她这个亲妈都表现的亲。可是当她出差或者是不在...,风之色彩2019
https://www.jianshu.com//p/5e1e5865d93a,冲上热搜的“王凯离婚”让我发现：比出轨更可怕的，是这件事,终身成长词典已上线1505/10000词条 今天是精读君陪伴你终身成长的第2644天 01 前段时间，《大江大河2》里的一个片段，冲上热搜。 原...,精读君
https://www.jianshu.com//p/1c6469bf20f3,最好的报复,1 朋友甲：45岁，人长得漂亮，看起来像35岁。在小镇上开了一家烟火铺，一月能挣七八千。她老公是镇中学一名教师，工资四千多，顾...,筝趣
https://www.jianshu.com//p/d3e2476e8614,财富自由｜写了30w字赚了3w贝,今年4月份注册了简书后，前期陆续报名了两次日更，却都因没搞懂规则断更了。这最近一次参与日更，还差15天就满200天，今天字数也写到了30w。 虽...,里_拉
https://www.jianshu.com//p/99997a54c9bc,毛毛虫成长记---【6】虚惊一场,日日无事，事复日日，忙忙。亦茫茫。 滴答······滴答······滴答······滴答······ 风雨过后的，叶片上的雨珠正顺着叶子的纹路向...,大熊之影
https://www.jianshu.com//p/102d605d9590,寓言故事,老虎报恩 一位老大娘在山路上行走，看见一只瘦弱的老虎躺在路旁呻吟。她大着胆子走上前，老虎举起前脚掌给她看，上面扎着一根粗长的尖刺，地上淌了不少鲜...,笔锋1
https://www.jianshu.com//p/112734b8a1a9,心理学家：永远不要为了省钱而穿旧衣服，你知道原因吗？,相信很多人都不舍得扔掉自己的旧衣服，总是觉得还可以再穿一个春秋，尤其是那些经济收入不好的家庭，自然会为了省钱而穿旧衣服，即便已经很多年了也舍不得...,柒情社
https://www.jianshu.com//p/39cef7dfa59f,百万字日更完成后，是什么感觉呢,没感觉。 感觉水平差的还很远。 比起码字狂人来说，简直不算不什么。 但对于我们每天最多写千把字的写手来说，百万字的确是一个里碑的意义转折点。 前...,军范律政
https://www.jianshu.com//p/06574d4490ba,40岁董洁再扮少女惹争议：你的外貌里，藏着你的生活状态,前段时间，董洁在一档综艺扮演经典剧《父母爱情》中的安杰。 节目中，董洁和李光洁要在40分钟内，演完两位主角的一生，其中难度可想而知。 平心而论，...,精读君
https://www.jianshu.com//p/1cc5f0df132e,需求管理规范,前言     MOMO云敏捷项目管理，融合了敏捷、DevOps思想，打通了整个从需求、研发、测试、运维、运营的端到端敏捷。在实践中通过运维自动化...,进击的桃纸
https://www.jianshu.com//p/9ee83c58af2a,鲁迅文章频频移出课本，为何会“去鲁迅化”？余华一句话点名原因,虽然不想承认，但是鲁迅他的确对我有潜移默化的影响，我想他斐然的文笔是没有人愿意质疑的。---余华 文|公众号|颜小二述哲文 大多数喜欢文学的朋友...,颜小二述哲文
https://www.jianshu.com//p/003a316dd7fa,关系再好，也不要跟人透露这三个隐私。,1，自己的家里的家务事。 很多人遇到点事就爱跟朋友倾诉，说自己的爱人这也不好，那不好。说者无意，听者有心，他就会把你家的事告诉其他人，那时候他们...,初心到终老
https://www.jianshu.com//p/85ce42fba109,今年我读了四个开源项目的源码，来分享下心得,Hola，我是 yes。 今年来看了 RocketMQ、Kafka、Dubbo 、Tomcat 的源码，之前也有读者询问过如何读源码，索性就来分...,yes的练级攻略
https://www.jianshu.com//p/8c3329505218,戴望舒——在最美的时光里错过,【青•故事优选】[https://www.jianshu.com/c/11c8f8761ed1]专题推荐文章 01 撑着油纸伞，独自彷徨在悠长，...,叶梓木
https://www.jianshu.com//p/872f10d1e1ec,真实故事,1992年，贾平凹的妻子发现他“精神出轨”，闹着要离婚，贾平凹不愿意，不久后，路遥去世，参加完好友的葬礼后，贾平凹毅然决定离婚，亲友都劝他三思，...,子煜说
